"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Doval, Camilo","R",,"60","65.3",,,,"30.3",,
"Hjelle, Sean","R",,"76","57.1",,,"52.6",,,
"Rogers, Tyler","R",,"68.9",,,,,"57.6",,
"Rogers, Taylor","L",,"88.2",,,,,,"62.5",
"Santos, Gregory","R",,"61.2",,,,,"36.7",,
"Davis, Austin","L",,"77.8","37.8",,,,,"56.3",
"Fleming, Josh","L",,"90.7","51.7","81.6",,"30.5",,,
"Holderman, Colin","R",,"81.2","40.2",,,,,"37.5",
"Borucki, Ryan","L",,"93.6",,"92.7",,,"33","31.7",
"Sánchez, Cristopher","L",,"97.9",,"91.5",,,"35.4",,
"Alvarado, José","L",,"96.5","47.8",,,,,,
"Spence, Mitch","R",,"63.6","29.6","68",,"78.2","57.9",,
"Wood, Alex","L",,"99.6",,"98",,,"44.4",,
"McFarland, T.J.","L",,"86.6",,"91.5",,,,"68.3",
"Alexander, Scott","L",,"77.3",,"77.6",,,"44.7",,
"Cousins, Jake","R",,"89.9",,,,,"52.9",,
"Schmidt, Clarke","R",,"58.3","41.8",,,"79.4",,"49.1",
"Mayza, Tim","L",,"82.9","48.1",,,,"17.2",,
"González, Victor","L",,"99.1",,"98.8",,,"20.1",,
"Holmes, Clay","R",,"71.8",,,,,"33.2","63.5",
"Hartwig, Grant","R",,"97.9","64.8",,,,,"41.8",
"Young, Danny","L",,"86.8",,,,,,"62.9",
"Maton, Phil","R",,"69.1","55.3",,,"95.9","35.7","56.3",
"Lucchesi, Joey","L",,"79.9","84.5",,,"25.1",,,
"Young, Alex","L",,"81.3",,"76",,"30",,,
"Raley, Brooks","L",,,"34.6","87.7",,,,"59.3",
"Vespi, Nick","L",,,"41.9",,,"66","38",,
"Aguiar, Julian","R","99.6","99",,"99.1",,"71.3","45.2",,
"Sabrowski, Erik","L","99.6",,,,,"75.4","50.4",,
"Myers, Tobias","R","99.6",,"78.9","98.7",,"53.9","46.4",,
"Blalock, Bradley","R","99.5",,"51.3",,"98","65.2","29.3",,
"Barnes, Matt","R","99.5",,,,"94.3","71.9",,,
"Heaney, Andrew","L","99.5",,,"99.4",,"65.7","16.6",,"45.2"
"Harvey, Hunter","R","99.5",,,,"82.2","88.3","27.7",,
"Chivilli, Angel","R","99.5",,,"92.7",,,"20.1",,
"Plesac, Zach","R","99.5",,,"97.5",,"73.8","48.1",,
"Dana, Caden","R","99.4",,,"91.5",,"99.3","26.4",,
"Gomber, Austin","L","99.4",,,"97.8",,"79","33.3",,
"Petersen, Michael","R","99.4",,"21.3","97.7",,,,,
"Gonzales, Marco","L","99.3","99.4","54.1","97.6",,"51.4",,,
"Diekman, Jake","L","99.3","99.6",,"99.4",,,,"39.7",
"Mahle, Tyler","R","99.3",,,,"96.6",,"31.3",,
"Paddack, Chris","R","99.3",,,"95.3",,"87.9","33.9",,
"Vesia, Alex","L","99.3",,,"97.3",,,"39.5",,
"Ragans, Cole","L","99.3",,"54.2","98.9",,"83.2","16.6",,
"Harris, Hogan","L","99.3",,,"97.2",,"99.1","70.9",,
"Wacha, Michael","R","99.2","98.1","66.2","80.2",,"85.6","19.8",,
"Cecconi, Slade","R","99.2",,,"94.1",,"82.8","20.2",,
"Taylor, Troy","R","99.2",,,,,,,"64.4",
"Strider, Spencer","R","99.2",,,,,"58.1","36.5",,
"Gordon, Tanner","R","99.2",,,"97.1",,"29.2","21",,
"Richards, Trevor","R","99.1",,,"59.8",,,,,
"Molina, Anthony","R","99.1",,,"95.5",,"33","63",,
"Bradford, Cody","L","99.1",,,"99.7",,"70.6","29.8",,
"Pepiot, Ryan","R","99.1",,"66.8","82.2",,"83.5","52.2",,
"Lee, Dylan","L","99.1",,,"98.6",,,"32.5",,
"Quantrill, Cal","R","99.1","98.7","36.2","96.9","94.8","36.6","25.9",,
"Oller, Adam","R","99","99.6",,"89.1",,"77.1",,,"45.9"
"Detmers, Reid","L","99","98.7",,"92.7",,"85.6","24.4",,
"Estévez, Carlos","R","99",,,"91.2",,,"39.8",,
"Sulser, Cole","R","99",,"50.2","89.3",,,"36.4",,
"Gray, Josiah","R","98.9","97.9","53.4","79.2",,"36.3","47.6","26.8",
"Brebbia, John","R","98.9",,,,,,"44",,
"Imanaga, Shota","L","98.8","89.8","70.8","90.4","92.1","79.4",,"29.3",
"Harrison, Kyle","L","98.8",,,"98.3",,,,,"36"
"Rosenberg, Kenny","L","98.8",,"18.4","95.4",,"71.6",,,
"Klein, Will","R","98.8",,,,,"57.5","12.4",,
"Cantillo, Joey","L","98.8",,,"98.5",,"95.6","40.2",,
"Mercado, Michael","R","98.8",,"26.3","91.3",,"65.2",,,
"Stanek, Ryne","R","98.8","86",,,"91.5",,"23.3",,
"Herz, DJ","L","98.8",,,"91.6",,"21.9","15",,
"Finnegan, Kyle","R","98.7",,,,"94.8",,"20.6",,
"Marinaccio, Ron","R","98.7",,,"94.6",,,,"52.1",
"Montgomery, Mason","L","98.7",,,,,,"19.1",,
"Rodriguez, Grayson","R","98.7",,,"88.8",,"69.9","37.5",,
"Weems, Jordan","R","98.7",,,,"98.8",,"36.7",,
"Blanco, Ronel","R","98.6",,,"96.8",,"38.4","45.1",,
"Duran, Jhoan","R","98.6",,,,"86.1","61",,,
"Allen, Logan","L","98.6","97.1","52.8",,"98.4",,,"29.5",
"Swanson, Erik","R","98.6",,,,"89.4",,"31.7",,
"Palencia, Daniel","R","98.6","98.1",,,"84.1",,"24.4",,
"Hernández, Daysbel","R","98.5",,,,,,"20.2",,
"Miller, Bobby","R","98.5","97.2",,"97.5",,"77","41.9",,
"Halvorsen, Seth","R","98.5",,,,"92.9",,"24.5",,
"Walker, Taijuan","R","98.4","97.2","67.6",,"76.8","67.7",,"47.1",
"Baumann, Mike","R","98.4",,,"99.7",,"53.9","45.6",,
"Nicolas, Kyle","R","98.4",,,,,"61","33.3",,
"Lodolo, Nick","L","98.4","99",,"94.7",,"50.2",,,
"Vieira, Thyago","R","98.4","97.8",,,,,"38.6",,
"Morgan, Eli","R","98.3",,,"90.4",,,"23",,
"Lambert, Peter","R","98.3","89.9","52.2","98.8",,"94.2","37",,"65.4"
"Brzykcy, Zach","R","98.2",,,"99",,"55.6",,,
"Holman, Grant","R","98.2",,,"90.3",,,"15.5",,
"Pivetta, Nick","R","98.1",,"52",,,"76.3","38.6","43.1",
"Varland, Gus","R","98.1",,,"98.4",,,"20.8",,
"Estrada, Jeremiah","R","98.1",,,,"97.8",,"50.1",,
"López, Reynaldo","R","98.1",,,"97.1",,"65.5","34.7",,
"Moore, Matt","L","98.1",,,"97.6",,"67.6",,,
"Anderson, Tyler","L","98.1","93.3","56.6","96.8",,,"31.8",,
"Miller, Shelby","R","98",,,,"89.1",,"48.6",,
"Strahm, Matt","L","98","98.4","42.7",,,,"33.8",,
"Sammons, Bryan","L","98",,"47.3","77.1",,"72",,"43.7",
"Knack, Landon","R","98",,,"98.3",,"85.5","27.8",,
"Crawford, Kutter","R","98",,"48.6",,"69.1","92.2",,"35.9",
"Matthews, Zebby","R","98",,"60.6","98.8",,"54.6","25.2",,
"Kremer, Dean","R","97.9","92.5","43",,"97","74.4",,,
"Yates, Kirby","R","97.9",,,,"96.9",,,,
"Herget, Kevin","R","97.9",,"32.1","99",,,,,
"Black, Mason","R","97.9","93.4",,"96.6",,,"25.3","46.5",
"Skenes, Paul","R","97.8",,,"93.8","92.5","52.5","26.4","37.3",
"Nelson, Ryne","R","97.8",,"62.8","99.2",,"67.3","37.7","50.9",
"Iriarte, Jairo","R","97.8",,,"99",,,"61.6",,
"McKenzie, Triston","R","97.8",,,,,"67.6","62",,
"Ferrer, Jose A.","L","97.8","98.4",,"97.3",,,"15.3",,
"Reynolds, Sean","R","97.8",,,"99.1",,,"31.7",,
"Williamson, Brandon","L","97.8",,"54.5","99.3",,"74.2",,,
"La Sorsa, Joe","L","97.8","94.1",,"99",,,,"58.4",
"Mears, Nick","R","97.7",,,,,"82.1","22.8",,
"Irvin, Cole","L","97.7","96.4","28","99.2",,"59.8","61.6",,
"Beede, Tyler","R","97.7","96.5",,,"94.2","81.2",,,
"Fernandez, Ryan","R","97.7",,"57.8",,,,"22.6",,
"Manaea, Sean","L","97.7","96.6","52.6","93.1",,,"39.5","48.4",
"Maldonado, Anthony","R","97.7",,"71.4",,,,"22.1",,
"Erceg, Lucas","R","97.7","98.5",,"94.5",,,"29.8",,
"Booser, Cam","L","97.6",,"30.4",,,,,"43.1",
"Woods Richardson, Simeon","R","97.6",,,"86.7",,"84.9","54.5",,
"McGough, Scott","R","97.6","98.4",,,"93.7",,"33",,
"Luzardo, Jesús","L","97.5","98.7",,"99.4",,,"9.9",,
"Lively, Ben","R","97.5","95.1",,"98.9",,"71.4","43.9","54.1",
"Castro, Miguel","R","97.5","94.5",,"92.5",,,"60.3",,
"Ort, Kaleb","R","97.5",,"62","96.4",,,,"55.7",
"Bednar, David","R","97.4",,,,"71.7","72.8",,,
"Falter, Bailey","L","97.4","96.6",,,"90.8","46.6","63.8",,
"Howard, Spencer","R","97.4",,,"99.2",,"94.7","30.4",,
"Peralta, Wandy","L","97.4","96.3",,"86.8",,,"29.6",,
"Wingenter, Trey","R","97.4",,,,,,"15",,
"López, Jorge","R","97.4","96.9",,"98.2",,"69.8","34.4",,
"Yarbrough, Ryan","L","97.4","98.5","55.9","91.8",,,,"68.3",
"Kitchen, Austin","L","97.3","94.1",,"98",,"83.8",,"40.5",
"Carasiti, Matt","R","97.3","93.2","42.6",,"94.2",,,,
"Rainey, Tanner","R","97.2",,,"97.8",,,"24.7",,
"Davis, Noah","R","97.1","96.8","51.7","98.7",,"85.5",,"67.8",
"Kerkering, Orion","R","97.1","91.8",,,,,,"54.1",
"Pérez, Martín","L","97.1","97","68.9","99.3",,"33.3",,,
"Peralta, Luis","L","97.1",,,,,"57.7",,,
"Hoffman, Jeff","R","97.1","98",,,"92.1",,"27.3",,
"Englert, Mason","R","97.1","87.4","34.8","71.1",,"45","9.7",,
"Cabrera, Génesis","L","97","98.1","53","99",,"54.7",,,
"Williams, Gavin","R","97",,"48.4","93.6",,"92.9","39.4",,
"Díaz, Yilber","R","96.9",,,,,"86.6","23.1",,
"Gausman, Kevin","R","96.9","96.9",,,"90.9",,"18.3",,
"Wilson, Justin","L","96.9",,"64.2",,,,"23.9",,
"Birdsong, Hayden","R","96.9",,,"90.8",,"70.1","16",,
"Bigge, Hunter","R","96.8",,,,,"93.4","32.5","58.5",
"Gallegos, Giovanny","R","96.7",,,"98.8",,,"11",,
"Cortes, Nestor","L","96.7",,"47.8","95.1",,,"44","45.7",
"Ray, Robbie","L","96.7",,,,,"18.8","55.5",,
"Sale, Chris","L","96.7","95.9",,"99.4",,,"62.3",,
"Canning, Griffin","R","96.6","95.3",,"89.9",,"47.9","13.9",,
"Romano, Jordan","R","96.6",,,,,,"26.2",,
"Legumina, Casey","R","96.6",,,"89",,,"32.2",,
"Kelly, Joe","R","96.6","92.9",,"98.4",,"61.5","36.9",,
"Curry, Xzavion","R","96.6",,,,,"81.4","45",,
"Thompson, Zack","L","96.5",,,,"79.2","90.1","21.8",,
"Springs, Jeffrey","L","96.5",,"59.9","89.6",,,"32.7","40",
"Scott, Tayler","R","96.5","96.3",,,"79.6",,"48.2",,
"Rodón, Carlos","L","96.5",,"50.9","77.4",,"61.4","22.1",,
"García, Deivi","R","96.5",,,"93.5",,"76.8",,"56.1",
"Baz, Shane","R","96.5",,,"98.4",,"68.7","21.8",,
"Jay, Tyler","L","96.3","89.8","46.9",,,,,"54.3",
"Verlander, Justin","R","96.3",,,"94.8",,"69.6","36.5",,
"Parker, Mitchell","L","96.3",,,,"80.3","58.8","25.5",,
"Mize, Casey","R","96.3","95.1","27.1",,"87.9","89","27.3",,"37.7"
"Hanifee, Brenan","R","96.3","95.6",,"98.6",,,"18.2",,
"Hancock, Emerson","R","96.2","95.7","36.6","98.9",,,"28.8",,
"Leiter Jr., Mark","R","96.2","91.2","50.7",,"89.4","95.9",,"53.2",
"Beck, Tristan","R","96.2",,,,,"83.3","36","62.8",
"Alcala, Jorge","R","96.1","95.6",,"95.3",,,"26.8",,
"Gillispie, Connor","R","96.1",,"53.1","89.5",,,,"37.4",
"Brooks, Aaron","R","96.1","94.5",,"71",,,"15.6",,
"Williams, Devin","R","96.1",,,"90.1",,,,,
"Miller, Ryan","R","96.1",,,,,,"23.3","50.8",
"Sears, JP","L","96","96.2",,"98.2",,"42.2","33.6","39.9",
"Daniel, Davis","R","96",,,"97.5",,"91","38",,
"Latz, Jacob","L","96",,,"97.7",,"84.3","37.5",,
"Weathers, Ryan","L","95.9","96.2",,"81.6",,,,"33.5",
"Gilbert, Logan","R","95.9","98.8","67.6",,"58.1","69.5","15.6",,
"Díaz, Edwin","R","95.9",,,,,,"27.9",,
"Reid-Foley, Sean","R","95.8",,,"82.1",,,"31.3",,
"Guerrero, Luis","R","95.8",,,"92.9",,,,"37.4",
"Suarez, Robert","R","95.8","96",,"97.7",,,,,
"Slaten, Justin","R","95.8",,"51.6",,,"77.6",,"48",
"Joyce, Ben","R","95.8","86.2",,"80",,,"55.2",,
"Ryan, Joe","R","95.8","93.5",,,"78",,"25.6","57.3",
"Brown, Ben","R","95.7",,,"95.7",,"30.1",,,
"Abbott, Andrew","L","95.7",,,"98.1",,"47",,"38.5",
"Graceffo, Gordon","R","95.6",,,"95.5",,"80.6","21.7",,
"Martin, Chris","R","95.6","85.5","60.1",,"80.7",,,,
"Vines, Darius","R","95.6",,"31.9","98.9",,"47.5","11.4",,
"Eovaldi, Nathan","R","95.5",,"62.6",,"87","78.8","39.8",,
"Ureña, José","R","95.5","94.3",,"94.8",,,"45.1",,
"Pearson, Nate","R","95.5","93.1",,,,"87.1","37.3",,
"Milner, Hoby","L","95.5","92.1",,"97.3",,,,"60.8",
"Paxton, James","L","95.5","96.1","13.8","88.2",,"57.9",,,
"Johnson, Pierce","R","95.5",,"48.8",,,"47.8",,,
"Devenski, Chris","R","95.5",,"41.4","90.8",,,,"55.9",
"Bieber, Shane","R","95.4",,"38.8","97.4",,"79.2","10.8",,
"Alzolay, Adbert","R","95.4","94.3","56",,,,"41.7",,
"Heller, Ben","R","95.3","95.9","17.8","70.9",,,"15.7","79.1",
"Chafin, Andrew","L","95.3","94.3",,,,,"29.8",,
"Santana, Dennis","R","95.3","90.9","47.7","93.4",,,"19.9",,
"Liberatore, Matthew","L","95.3","91.1","46.6","98.9",,"92","20.8",,
"Smith, Cade","R","95.3",,,,"83.3",,,"55.4",
"Gray, Jon","R","95.3",,,"98.8",,"61.4","38.7",,
"Poche, Colin","L","95.2",,,,,,"46",,
"Skubal, Tarik","L","95.2","91.5",,"82.3",,"63.4","36.8",,
"Kopech, Michael","R","95.2",,"30.6",,,,"36.2",,
"Heasley, Jonathan","R","95.2",,,,,"77.1","30","51.6",
"Littell, Zack","R","95.2","93.2",,,"73.4",,"43.8","48.7",
"Stone, Gavin","R","95.1","96.3","69.3","98.5",,"44.2","13.4","29.7",
"Kelly, Zack","R","95.1",,"47.8","93.7",,,,"57.2",
"Hill, Tim","L","95.1","88.8",,,,,"42.4",,
"Shuster, Jared","L","95.1","94.7",,"99",,,"27.9",,
"Arrighetti, Spencer","R","95.1","99.1","45.2","96.1",,"72.6",,"56.7",
"Anderson, Nick","R","95.1","94.5",,"98.6",,"22.2",,,
"Jackson, Jay","R","95","87.3",,"81.1",,,"23.6",,
"Wentz, Joey","L","94.9",,"24.1","98.1",,"59.1",,,
"Waguespack, Jacob","R","94.9",,"42.7","81.7",,"78.1",,,
"Garrett, Amir","L","94.8",,,,,,"24.7",,
"Bradley, Taj","R","94.8",,"50.8",,"80.9","88.1",,,
"Greene, Hunter","R","94.8",,,,"79.8","60.6","42.7",,
"Brito, Jhony","R","94.8","94.9",,"98",,,"26.3","49.6",
"Leibrandt, Brandon","L","94.8","93.6",,"98",,,"41.3",,
"Akin, Keegan","L","94.8",,,"98.1",,,"25.1",,
"Anderson, Justin","R","94.8","92.7","53.3",,,,"42.9",,
"Varland, Louis","R","94.7","93",,"86.2",,"55.5","37.3",,
"Nelson, Kyle","L","94.7",,"57.2",,,,"30.5",,
"Kuhl, Chad","R","94.7","93.4","58.3","90.4",,,"28.9","64.3",
"Rodríguez, Yerry","R","94.7",,,"98.7",,,"36.2",,
"Lorenzen, Michael","R","94.7","90.6","46.5","97.3",,"69.1","24.4","40.8",
"Berroa, Prelander","R","94.6",,,,,,"16.7",,
"Beeks, Jalen","L","94.5",,"18.7","92.8",,"84.6",,,
"Means, John","L","94.5",,,"97.6",,"70.2","48.9",,
"Scott, Christian","R","94.5",,,,"91.1",,"29.8","41.5",
"Burke, Brock","L","94.5","89.2",,"79.2",,,"34.9",,
"Sborz, Josh","R","94.4",,,,,"79.2","17.5",,
"Banda, Anthony","L","94.4","94",,"99.2",,,"26.2",,
"Robertson, Nick","R","94.4",,,"95.4",,,"34.4","42.8",
"Marte, Yunior","R","94.4","92.8",,,"90.9",,"21",,
"Matsui, Yuki","L","94.4",,,,"60.1",,"27.7","44.9",
"Jackson, Luke","R","94.4",,,,,"70.4","41.2",,
"Leiter, Jack","R","94.3",,"69.1","88.3",,"65.1","25.9",,
"Hernández, Carlos","R","94.3",,,,"92.3","47","32.3",,
"Jefferies, Daulton","R","94.3","95.7","69.5","97.4",,,"22.6",,
"Hill, Jaden","R","94.3","95.7",,"99.5",,,,"26.7",
"Kahnle, Tommy","R","94.1","95.8",,"98.6",,,"45.3",,
"Gaddis, Hunter","R","94.1",,,"99",,,"46.1",,
"Bermúdez, Jonathan","L","94.1",,,"85.5",,,"37.4","59.8",
"Javier, Cristian","R","94.1",,,"72.8",,"75.7","51.1",,
"Lynch IV, Daniel","L","94","88.1",,"95.2",,"31.5","19.1",,
"Miller, Erik","L","93.9",,,"98.8",,,"36.6",,
"Sauer, Matt","R","93.9","96.4",,,"72.6","67.6",,"43.4",
"Sandoval, Patrick","L","93.9","93.2",,"98.1",,"74.7","40.5","55.2",
"Lopez, Jacob","L","93.9",,"54.8","96.5",,,"48.1",,
"Kirby, George","R","93.9","91.2",,,"86.7","81.7","41.1",,
"Gillaspie, Logan","R","93.9",,"64.8","98.4",,"70.8",,"48.2",
"Hoeing, Bryan","R","93.8","94.1",,,"72.2",,"35",,
"Law, Derek","R","93.8","88.3","60.6","98.6",,"58.4","22.2",,
"Scherzer, Max","R","93.8",,"30.2","99",,"72.5","22.6",,
"Merryweather, Julian","R","93.8",,,"99.4",,,"16.5",,
"Nola, Aaron","R","93.8","91.7","54.3","99.2",,"79.8",,,
"Eisert, Brandon","L","93.7",,,"86.1",,,"33",,
"Vest, Will","R","93.7","88.7",,"94.3",,,"35",,
"Snell, Blake","L","93.7",,,"98.2",,"67.3","48.7",,
"Nardi, Andrew","L","93.7",,,,,,"29.2",,
"Jiménez, Joe","R","93.7",,,"90.3",,,"32.2",,
"Leasure, Jordan","R","93.7",,,,,"80.5","36.5",,
"Ruiz, José","R","93.7","92.9",,"93.1",,"46.8","72.8",,
"Manning, Matt","R","93.7",,,,"79.4","83.3","38","36.6",
"Honeywell, Brent","R","93.6",,,,,,"44.5","53.1",
"Green, Chad","R","93.6",,,,,,"20.7",,
"Winn, Cole","R","93.6","89.7",,,"87.9",,"23.9",,
"Houser, Adrian","R","93.5","90.6",,"89.3",,"96.4","33.5",,
"Roupp, Landen","R","93.5","89.8",,"88.4",,"86.5","44.6",,
"Weaver, Luke","R","93.5",,"60.3","83.1",,"49.5",,,
"Foley, Jason","R","93.5","92.4",,"98.9",,,"20.4",,
"Snead, Kirby","L","93.4","93.2",,"93.6",,,"38.9",,
"Hicks, Jordan","R","93.4","85.6",,,"81.5",,,"47.8",
"Peralta, Sammy","L","93.4",,,"99.4",,,"32.6","39.8",
"Cabrera, Edward","R","93.3","90.4",,"93.9",,"55.1","29.1",,
"Jarvis, Bryce","R","93.3","93.8","22.3","95.6",,,"29.6",,
"Criswell, Jeff","R","93.3",,,"99.6",,,"22.4",,
"Baker, Bryan","R","93.2",,,"91.1",,"52.2","46.7",,
"Aldegheri, Sam","L","93.1",,,"92.9",,"82.9","30.6",,
"Phillips, Evan","R","93.1","86.8","51.1",,,,,"54.6",
"Megill, Trevor","R","93.1",,,,,"41.7",,,
"Selby, Colin","R","93.1","90.2",,,,"85.5","29.2",,
"Pagán, Emilio","R","93",,"35.2",,"91.4",,,,
"Winder, Josh","R","93",,,"93.9",,,"13.4","59.1",
"Jiménez, Dany","R","93",,,"88.1",,,"15.5",,
"Wrobleski, Justin","L","92.9","92.6",,"97",,"65.6","28.1","43.2",
"Hamilton, Ian","R","92.9","87",,,,,"28.4",,
"Gore, MacKenzie","L","92.9",,"58.2","91.9",,"62.8","16","27.6",
"Ryan, Ryder","R","92.9","91.4",,,,,"21.3",,
"Graterol, Brusdar","R","92.8","90.2","76.2",,,,"26.4",,
"Muñoz, Andrés","R","92.7","91.5",,,,,"35",,
"Pinto, Ricardo","R","92.7","90.7",,,"93.2",,"16.7","39.8",
"Henriquez, Ronny","R","92.7",,,"98.1",,,"30.7",,
"Lucas, Easton","L","92.7",,"52.9","94.6",,,,"32.4",
"De Los Santos, Enyel","R","92.7",,,"98.1",,,"28.7",,
"Berríos, José","R","92.7","98.5","65.2","97.6",,,,,"55.7"
"Chargois, JT","R","92.6","97.1",,,,,"13.3",,
"Cueto, Johnny","R","92.6","94.5","65.8","77",,,"49",,
"Hentges, Sam","L","92.5","91.4",,,,"84","21.3",,
"Santillan, Tony","R","92.5",,,,,,"36",,
"Herget, Jimmy","R","92.5","91.1",,"86.4",,"52.1","21.2",,
"McMillon, John","R","92.3",,,,,,"17.4",,
"Hughes, Brandon","L","92.3","87.8",,,,,"28.2",,
"Jones, Jared","R","92.3",,,"85.9",,"65.4","26",,
"Walston, Blake","L","92.3","98.6","53.1","98",,"69.1",,"19.7",
"Vodnik, Victor","R","92.3",,,"85.4",,,"37.6",,
"Yamamoto, Yoshinobu","R","92.3","89.3","50.8",,"73.3","94","40.2",,
"Alexander, Tyler","L","92.3","91.9","42.4","91.2",,,,"51.4",
"Anderson, Chase","R","92.2","90.3","46.4","99.4",,"96.9",,"55.4",
"Zeferjahn, Ryan","R","92.2",,"33.7",,,,,"61.6",
"Fairbanks, Pete","R","92.2",,,"74.4",,,"46.2",,
"Adon, Joan","R","92.2","87.8",,"79.9",,"51.1","41.8",,
"Madden, Ty","R","92.2","90.6","40.7",,"83","82.3","19.2",,
"Ober, Bailey","R","92.2",,,"98.8",,"77.4","51.3","44.6",
"Castillo, Luis","R","92.2","93.9",,"94",,,"15",,
"Allard, Kolby","L","92.2","95.4","44.9","99.6",,"94.9",,,
"Mazur, Adam","R","92.1","90.9",,"92.8",,"67.4","23.7",,
"Brasier, Ryan","R","92.1","93.3","59.1",,,,"31.3",,
"Cruz, Fernando","R","92.1",,"42.3",,"63.4",,,,
"O'Loughlin, Jack","L","92.1",,,"99.3",,"82.6","22.3",,
"Winn, Keaton","R","92.1","83.3",,,"86.7",,"11.9",,
"Salazar, Eduardo","R","92","87.9",,,,,"20.6",,
"Povich, Cade","L","92","91.5","48.7","94.2",,"88.8",,"31.3",
"Veneziano, Anthony","L","92",,,"98.9",,,"28.8","47.7",
"Burke, Sean","R","92",,,"99.6",,"78.7","30.9",,
"Allen, Logan","L","92","92.5","43.7","72.7",,,,"54.4",
"Dobnak, Randy","R","91.9","78.7",,"83.3",,,"36.9",,
"Taillon, Jameson","R","91.8","91.9","51","96.8",,"74.2",,"51.9",
"Mantiply, Joe","L","91.8","92.2",,"98.4",,"49.3",,,
"deGrom, Jacob","R","91.7",,,"94.2",,,"30",,
"Mederos, Victor","R","91.7","91.9",,"96.4",,"75.9","32.3",,
"Flexen, Chris","R","91.7",,"56.2","98.5",,"87.8","49.3",,
"Estes, Joey","R","91.6","92.4","38.6","99.1",,,"35.5","52.9",
"Speier, Gabe","L","91.6","92",,,,,"33",,
"Brown, Hunter","R","91.5","91.2","59.6","95.5",,"80.2","42.1",,
"Kimbrel, Craig","R","91.5",,,,,"70",,"64",
"Dubin, Shawn","R","91.5",,"35.4","87.6",,"91.5",,"61.1",
"Civale, Aaron","R","91.4","89.1","48.1",,"93.7","86.6","41.4","62.3",
"Frías, Luis","R","91.4","91.1","36.8",,,,"59",,
"Jacob, Alek","R","91.4","91.9",,"95.9",,,,"73.1",
"Otañez, Michel","R","91.4","92.9",,,,,"23.8",,
"Cole, Gerrit","R","91.4","91.4","47","97.7",,"79","28.6",,
"Miller, Mason","R","91.2",,,"88.6",,,"48.3",,
"Clevinger, Mike","R","91.2","89.4","24.6","96.9",,"69",,"59.8",
"Wells, Tyler","R","91.1",,"57.9","95.6",,"66.1","35",,
