"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Pérez, Francisco","L","96.3",,,,,,"20.2",,
"Vest, Will","R","96.2",,,"97.1",,,"36.5",,
"Gose, Anthony","L","96.2",,,,,,"33.2",,
"Baumann, Mike","R","96.2",,,"99.2",,"81.3","49.1",,
"Nola, Aaron","R","96.1","94.2","42.3","99.4",,"84.7",,,
"Machado, Andrés","R","96.1","94.1",,"88.2",,,"37.8",,
"Wells, Tyler","R","96.1",,"50","96",,"66.4",,"47.9",
"Poppen, Sean","R","96.1","96.1",,"92.4",,,"57.8",,
"Chafin, Andrew","L","96","94.9",,,,,"18.5",,
"Beede, Tyler","R","96","96.3",,"91.5",,"90.8","23.4",,
"De Los Santos, Enyel","R","96",,,"99.7",,,"17",,
"Wilson, Steven","R","95.9",,,"99.1",,,"41.7","46.7",
"Leiter Jr., Mark","R","95.9","90.8","51.7",,"90.1","94.4","49",,
"Hendriks, Liam","R","95.9",,,,,"66.5","23.6",,
"Kahnle, Tommy","R","95.9",,,"97.1",,,,,
"Lauer, Eric","L","95.9",,"60.1","97.6",,"56.7","37.4",,
"Guerra, Javy","R","95.9","96.4",,,,,"30.9",,
"Alvarez, Jose","L","95.8","95.6",,"93.3",,,"26.4",,
"Krehbiel, Joey","R","95.8",,"42.3","94.7",,,"66.1",,
"Gray, Jon","R","95.8","95.7",,"99.1",,"79.9","19.7","31",
"Barlow, Joe","R","95.8",,,,,"46.6","41.9",,
"Acevedo, Domingo","R","95.8",,,"96",,,"66.2",,
"Severino, Anderson","L","95.8",,,"89.9",,"59.3","33.4",,
"Arihara, Kohei","R","95.7","94.9","66.3","92","85",,"27.7",,
"Gore, MacKenzie","L","95.7",,,"92.9",,"62.1","35.1",,
"Solomon, Jared","R","95.6",,,,,,"34.5",,
"Faucher, Calvin","R","95.6",,,,,"66.1",,"32.3",
"Nelson, Nick","R","95.6",,,"97.4",,"46.7","29.9",,
"Devenski, Chris","R","95.6",,,"90.8",,,"30.2",,
"Fernández, Junior","R","95.6","95.6",,"95.4",,,"25.1",,
"Gilbert, Logan","R","95.5","98.2",,"99.4",,"61.8","39.2",,
"Peralta, Wily","R","95.4","97.6",,,"94.5",,"15.7",,
"Bañuelos, Manny","L","95.4","92.1",,"97.1",,"36.6","28.7",,
"Sawamura, Hirokazu","R","95.4",,,,"71.5",,"24.2",,
"Javier, Cristian","R","95.4",,,"82.5",,"76.8","43",,
"Howard, Spencer","R","95.3",,,"99.6",,"99","28.9",,
"Díaz, Edwin","R","95.3",,,,,,"23.2",,
"Anderson, Chase","R","95.3","95","70.5","99.5",,"91.8","38.1","41.3",
"Hughes, Brandon","L","95.3","95.4",,,,,"20.8",,
"Clevinger, Mike","R","95.3","93.4","39.6","98.8",,"76.1",,"53.2",
"Grove, Michael","R","95.3",,,,,"77.1","32",,
"Pilkington, Konnor","L","95.2",,,"97.7",,"82","21.2",,
"Lugo, Seth","R","95.2","93.6",,"95.9",,"80.2","42.5",,
"Kremer, Dean","R","95.2","93.9","46","89.7",,"81.8",,,
"Cousins, Jake","R","95.2","97.6",,,,,"49.5",,
"Smith, Will","L","95.2",,,,,"59.6","18.8",,
"Lemoine, Jacob","R","95.2","97.4",,"90.4",,,"28.6",,
"Hill, Tim","L","95.1","91.7","75.1",,,,"44.2",,
"Sulser, Cole","R","95.1",,,"86.2",,,"29.6",,
"López, Reynaldo","R","95",,,"93.4",,"63.2","44.3",,
"Adon, Joan","R","95","93.7",,"89.7",,"67.5",,,
"Waldichuk, Ken","L","95",,,"99.1",,"82.5",,"59.6",
"Rodón, Carlos","L","95",,,"97.9",,"69.1","29.3",,
"Smeltzer, Devin","L","94.9",,"46","89.3",,"69",,"58.7",
"Mize, Casey","R","94.9",,,,"94","78.1","26.4",,
"Thornburg, Tyler","R","94.9",,,"98.5",,"92.2","44.3",,
"Bradley, Archie","R","94.9","95.1",,"98.1",,"70.4",,,
"Falter, Bailey","L","94.9","93.8",,"95.8",,"66.6","53.9",,
"Reid-Foley, Sean","R","94.8",,,"63.7",,,"36.3",,
"Cortes, Nestor","L","94.8",,"48.4","95.6",,,,"48.2",
"Tapia, Domingo","R","94.7","93",,"99.5",,,"30.2",,
"Beeks, Jalen","L","94.7",,"41.9","87.7",,,"22",,
"Davidson, Tucker","L","94.6","96.7",,"98.2",,"68.9","35.9",,
"Sanchez, Aaron","R","94.6","92.5",,"97",,"71.1",,,
"Gaddis, Hunter","R","94.5",,,"99.3",,"79.4","48.7",,
"Bush, Matt","R","94.4",,"52.2",,,"66.9",,,
"Alexander, Jason","R","94.4","91.8",,"97.6",,,,"48.2",
"Rodriguez, Elvin","R","94.4","95.5",,"95.5",,"69.1","24.3","47.1",
"Márquez, Germán","R","94.4","91.3",,"92.1",,"22.9","23.2",,
"Hembree, Heath","R","94.3",,,,,"66","31.2",,
"Stripling, Ross","R","94.2","91.6",,"91.6",,"73.2","42.2",,
"Bubic, Kris","L","94.2",,,"98.8",,"73.1",,,
"Cueto, Johnny","R","94.2","94.8","57.8","83.7",,"16.1","31.5",,
"Smith, Joe","R","94.2","96",,,,,"51.6",,
"Peralta, Wandy","L","94.1","93.9",,"84.2",,,"24.3",,
"Liberatore, Matthew","L","94","90.2",,"99.3",,"95.6","27.3",,
"Kelley, Trevor","R","94",,,"98.4",,"48.3","22.7",,
"Brown, Hunter","R","94",,"49.8",,,"87.7",,,
"Strider, Spencer","R","93.9",,,"91.1",,,"34",,
"Dunn, Justin","R","93.9",,,"84.8",,"57","39.8",,
"Staumont, Josh","R","93.9","89.5",,,,"80.8",,,
"Hearn, Taylor","L","93.9","92.1","48.7","87.5",,,"20",,
"Foley, Jason","R","93.9","94.4",,"99.4",,,"27.3","37.9",
"Cleavinger, Garrett","L","93.9","91.4",,,,"80.9","48.9",,
"Alcantara, Sandy","R","93.9","93.4",,"90.1",,"29.5","17.2",,
"Yates, Kirby","R","93.8",,,,"96.3",,,,
"Reyes, Denyi","R","93.8",,,"98.2",,"61.7","35.5",,
"Santana, Dennis","R","93.8","91.5",,"95.2",,,"18.1",,
"May, Dustin","R","93.8","92.1","34.2","91.6",,,,"66",
"Varland, Louis","R","93.7",,,"95.5",,"47","46.9","40.4",
"Stammen, Craig","R","93.7","88.7","51.9","92.7",,"70.1","53",,
"Waites, Cole","R","93.7",,,,,,"37.2",,
"Suarez, Robert","R","93.7","94.8","66.6","97.4",,"64.3",,,
"Swarmer, Matt","R","93.6",,,"89.6",,,"28.2",,
"Price, David","L","93.6","94.5","58.8","98.7",,"56.7",,,
"Santillan, Tony","R","93.4",,,,,,"35.6",,
"Houser, Adrian","R","93.4","91.6",,"94.1",,"94.8","32.6",,
"Herget, Kevin","R","93.4",,"20.5","98",,,,,
"Mayers, Mike","R","93.3",,"41.8","95.3",,"71.5","21.2",,
"Hernández, Carlos","R","93.3",,,,"91.6","46.5","20.3",,
"Ruiz, José","R","93.3",,,"92",,"47.1",,,
"Puk, A.J.","L","93.3","92.7",,"25.5",,,"14.6","12.9",
"Garrett, Amir","L","93.2","95",,,,,"30.7",,
"Snead, Kirby","L","93.2","95.7",,"96.5",,,"40.8",,
"Cabrera, Edward","R","93.2","90.1",,"97.1",,"56.6","25.5",,
"Scherzer, Max","R","93.2",,"43.4","98.8",,"77.2","20.3",,
"deGrom, Jacob","R","93.2",,,"94.1",,"49.6","33.8",,
"Soto, Gregory","L","93.2","94.2",,"97.5",,,"40.8",,
"Sims, Lucas","R","93.2",,,,,"69.1","36.6","41.6",
"Severino, Luis","R","93.1","95.5","42.3","98.1",,,"59.1",,
"Blanco, Ronel","R","93.1",,,,,,"31.9",,
"Patton, Spencer","R","93.1",,,,"97.1",,"44.5",,
"Baz, Shane","R","93.1",,,"98.7",,"67","21.4",,
"Kimbrel, Craig","R","93.1",,,,,"61.8",,"60.3",
"Okert, Steven","L","93.1",,,,,,"39",,
"Contreras, Roansy","R","93.1",,,"98.9",,"77.9","29.5",,
"Overton, Connor","R","93.1","90.9",,"96.6",,,"17","42.9",
"Nogosek, Stephen","R","93.1",,"50.1","92.3",,,"40.5","49.2",
"Szapucki, Thomas","L","93",,,,,"74.4",,,
"Almonte, Yency","R","93","91.3",,"98.5",,,,"38.2",
"Hill, Rich","L","92.9",,"49","92.6",,"96.1",,"89.2",
"Hoeing, Bryan","R","92.9","95.4",,"98.1",,"73","37.2",,
"Grimm, Justin","R","92.9",,,,,"84","77.4",,
"Brieske, Beau","R","92.9","91.4",,"99.5",,"48.7","26.6",,
"Snell, Blake","L","92.9",,,"98.7",,"66.6","35.9",,
"Wick, Rowan","R","92.8",,"81.8",,,"96.6","45.4",,
"Phelps, David","R","92.8","94.5","64.1","93.2",,"40.3",,,
"Cyr, Tyler","R","92.7",,"51.4","61.1",,,,,
"Ureña, José","R","92.7","89.9",,"97.7",,,"33.1",,
"García, Jarlín","L","92.7","99.6",,"98",,,"35.9",,
"McCarty, Kirk","L","92.7",,"47.3","99",,"56.5","37.5",,
"Burr, Ryan","R","92.7",,"28",,,,,,
"Díaz, Jhonathan","L","92.6","87.9",,"83.2",,"64.8","39.7",,
"Brault, Steven","L","92.6","91.3",,,,,"32.9",,
"Beasley, Jeremy","R","92.5",,,,"91.6",,"40.8",,
"Sanders, Phoenix","R","92.5",,,,,"90.4","27.3",,
"Uceta, Edwin","R","92.5",,,"81.3",,"48.5",,,
"Milone, Tommy","L","92.4",,,"94.9",,"34.2","16.3",,
"Buehler, Walker","R","92.4","89.5","54.4","93.6",,"85.3",,"51.7",
"Wittgren, Nick","R","92.4","92.5","51.8","81.4",,,"38",,
"Detwiler, Ross","L","92.3","93.6","25.4","92.9",,"74.3",,,
"Scott, Tayler","R","92.3","94.9",,,,,"46.9",,
"Weaver, Luke","R","92.3",,,"78.7",,"60","38.8",,
"Ober, Bailey","R","92.3",,,"98.4",,"73.9","28.2",,
"Jax, Griffin","R","92.2",,,"90.1",,"55.2",,"38.2",
"Tetreault, Jackson","R","92.2",,"50.2","99.4",,"56.3",,,
"Suarez, José","L","92.2","88.7",,"88.4",,"51.9","33.1","46.4",
"Brazobán, Huascar","R","92.2","86.7","20.3","82.3",,,,,
"Brubaker, JT","R","92.1","88.3",,"90.5",,"56.7","12.8",,
"Speier, Gabe","L","92.1","95.1",,,,,"32.7",,
"Hernández, Elieser","R","92.1","91.8",,"93.6",,,"46.7",,
"Ginkel, Kevin","R","92",,,,,,"26.3",,
"Misiewicz, Anthony","L","92",,"37.6",,,"65.5",,,
"Wilson, Bryse","R","92","92.6","41.6","99","89.2","68.4","33",,
"Alexander, Tyler","L","91.9","93.9","49.5","97.3",,,"33.5","48.5",
"Brooks, Aaron","R","91.9","91.2",,"58.2",,,"22.2",,
"Moran, Jovani","L","91.9",,,"85.3",,,"27",,
"Trivino, Lou","R","91.9","90.5","53.2","99.1",,"81.3",,"56.6",
"Ashby, Aaron","L","91.8","90.6",,"83.6",,"80.4","39",,
"May, Trevor","R","91.8",,,"96.2","67.2",,"34.5",,
"Henriquez, Ronny","R","91.7",,,"99.4",,,"25",,
"Flexen, Chris","R","91.6",,"51.2","98.9",,"77.1","39.1","47.2",
"Cease, Dylan","R","91.6","91.1",,"86.2",,"80.5","26.6",,
"Thielbar, Caleb","L","91.6",,,"63.3",,"93.8",,"36",
"Chargois, JT","R","91.6","97.1",,,,,"14",,
"Ray, Robbie","L","91.6","95.3",,"94.5",,"20.2","42.1",,
"Ortiz, Luis F.","R","91.6","90.9",,"96.2",,"71.3","20",,
"Kaprielian, James","R","91.6","85.2",,"58.2",,"60.7","26.5",,
"Alzolay, Adbert","R","91.6","91.5","51.3","86.8",,,"38.3",,
"Logue, Zach","L","91.6",,"47.3","89.3",,"34.7",,,
"Gutierrez, Vladimir","R","91.5",,,"96.1",,"72.2","44.6",,
"Marte, Yunior","R","91.5","90.5",,,,,"24.4",,
"Muñoz, Andrés","R","91.4",,,,,,"32.3",,
"Zerpa, Angel","L","91.4","84.8",,"98.3",,,"41.8",,
"Brasier, Ryan","R","91.4","90.6",,"97.6",,,"34.2",,
"Berríos, José","R","91.4","96.6",,"96.2",,,,,"54.5"
"Bundy, Dylan","R","91.4","93.2",,"91",,"74.9","23.7",,
"Romano, Jordan","R","91.3",,,,,,"27.3",,
"Gilbert, Tyler","L","91.3","91.5","53",,"98.7","70.8",,,
"Boxberger, Brad","R","91.2",,,"86",,,"47.1",,
"Graveman, Kendall","R","91.1","93.5",,"89.7",,"51.8","29.9",,
"Warren, Austin","R","91.1","94.1",,"98.5",,,"25.7",,
"Farmer, Buck","R","91.1",,,"76.7",,,"21.5",,
"Naughton, Packy","L","91","89.2",,"93.7",,,"32.3",,
"Clarke, Taylor","R","91",,,"95.6",,,"34",,
"Wiles, Collin","R","91","88.4","51.9",,,"78.7","50.5",,
"Espino, Paolo","R","90.8",,,"90.7",,"98",,"62.3",
"Cisnero, José","R","90.8","93.2","30.5","93.2",,,"39.4",,
"Holton, Tyler","L","90.8",,"52.6","98",,"86.8",,,
